rho,source,destination,count
0.2,28,1,979
0.2,28,2,1695
0.2,28,3,557
0.2,28,4,791
0.2,28,5,1090
0.2,28,6,720
0.2,28,7,1405
0.2,28,8,9397
0.2,28,9,2395
0.2,28,10,655
0.2,28,11,711
0.2,28,12,244
0.2,28,13,323
0.2,28,14,586
0.2,28,15,423
0.2,28,16,237
0.2,28,17,376
0.2,28,18,242
0.2,28,19,561
0.2,28,20,293
0.2,28,21,512
0.2,28,22,395
0.2,28,23,374
0.2,28,24,547
0.2,28,25,950
0.2,28,26,3895
0.2,28,27,3329
0.2,28,28,27851
0.2,28,29,654
0.2,28,30,4400
0.2,28,31,1057
0.2,28,32,1448
0.2,28,33,410
0.2,28,34,671
0.2,28,35,381
0.2,28,36,369
0.2,28,37,538
0.2,28,38,286
0.2,28,39,447
0.2,28,40,427
0.2,28,41,926
0.2,28,42,847
0.2,28,43,812
0.2,28,44,1328
0.2,28,45,1253
0.2,29,1,161
0.2,29,2,218
0.2,29,3,76
0.2,29,4,134
0.2,29,5,155
0.2,29,6,158
0.2,29,7,206
0.2,29,8,530
0.2,29,9,245
0.2,29,10,121
0.2,29,11,152
0.2,29,12,54
0.2,29,13,47
0.2,29,14,102
0.2,29,15,93
0.2,29,16,44
0.2,29,17,67
0.2,29,18,47
0.2,29,19,86
0.2,29,20,49
0.2,29,21,89
0.2,29,22,82
0.2,29,23,84
0.2,29,24,102
0.2,29,25,170
0.2,29,26,192
0.2,29,27,94
0.2,29,28,723
0.2,29,29,1385
0.2,29,30,1327
0.2,29,31,221
0.2,29,32,390
0.2,29,33,92
0.2,29,34,141
0.2,29,35,91
0.2,29,36,76
0.2,29,37,122
0.2,29,38,48
0.2,29,39,97
0.2,29,40,93
0.2,29,41,146
0.2,29,42,108
0.2,29,43,113
0.2,29,44,148
0.2,29,45,139
0.2,30,1,550
0.2,30,2,744
0.2,30,3,284
0.2,30,4,512
0.2,30,5,627
0.2,30,6,477
0.2,30,7,1311
0.2,30,8,2247
0.2,30,9,1181
0.2,30,10,332
0.2,30,11,394
0.2,30,12,132
0.2,30,13,209
0.2,30,14,309
0.2,30,15,315
0.2,30,16,115
0.2,30,17,185
0.2,30,18,130
0.2,30,19,324
0.2,30,20,146
0.2,30,21,294
0.2,30,22,222
0.2,30,23,197
0.2,30,24,285
0.2,30,25,466
0.2,30,26,684
0.2,30,27,376
0.2,30,28,3939
0.2,30,29,1123
0.2,30,30,8763
0.2,30,31,1007
0.2,30,32,1189
0.2,30,33,276
0.2,30,34,390
0.2,30,35,229
0.2,30,36,214
0.2,30,37,279
0.2,30,38,150
0.2,30,39,242
0.2,30,40,213
0.2,30,41,418
0.2,30,42,380
0.2,30,43,370
0.2,30,44,489
0.2,30,45,492
0.2,31,1,848
0.2,31,2,704
0.2,31,3,248
0.2,31,4,438
0.2,31,5,647
0.2,31,6,468
0.2,31,7,1096
0.2,31,8,1322
0.2,31,9,1696
0.2,31,10,213
0.2,31,11,252
0.2,31,12,95
0.2,31,13,139
0.2,31,14,240
0.2,31,15,194
0.2,31,16,116
